Lat,Long,Lugar,Dirección,Barrio,Cooperativa,Día y Horario,hazardous,paper,cardboard,glass,metal,plastic,tetrabrik,telgopor,organics,electronics,clothes
-34.5673114271266,-58.464634598031,PLAZA CASTELLI,CONDE y JURAMENTO,BELGRANO,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5890926138789,-58.4247575949544,PLAZA ARMENIA,MALABIA y NICARAGUA,PALERMO,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.5470464523292,-58.4683708218154,PLAZA BALCARCE,MANZANARES y VUELTA DE OBLIGADO,NUÑEZ,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5763941135912,-58.5039885340967,PLAZA LEANDRO N ALEM,"ARTIGAS, JOSE GERVASIO GRAL. y LARSEN",VILLA PUEYRREDON,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6296117832603,-58.4834187153287,PLAZA VELEZ SARSFIELD,AVELLANEDA AV. y CHIVILCOY,FLORESTA,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6494611405422,-58.5164511523164,PARQUE SANTOJANNI,"DE LA TORRE, LISANDRO y PATRON",LINIERS,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6644631774234,-58.4697701858878,PLAZA CALABRIA,CASTAÑARES AV. y ESCALADA AV.,VILLA SOLDATI,Cooperativa de Trabajo Primavera,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6358226883811,-58.4428212518265,PARQUE CHACABUCO,ASAMBLEA AV. y PUAN,PARQUE CHACABUCO,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6052794065506,-58.4190248441798,PLAZA ALMAGRO,SARMIENTO y BULNES,ALMAGRO,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.6375860364289,-58.3746262620514,PLAZA COLOMBIA,"MONTES DE OCA, MANUEL AV. y BRANDSEN",BARRACAS,Cooperativa de Trabajo Recuperador Urbano el Trebol,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6171243389801,-58.4038250276177,PLAZA DR. J. M. VELASCO IBARRA,JUJUY AV. y MEXICO,BALVANERA,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6221775195749,-58.3758630255791,PLAZA ROSARIO VERA PEÑALOZZA,SAN JUAN AV. y CHACABUCO,SAN TELMO,Cooperativa de Trabajo Cartonera del Sur,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.6064458661756,-58.4330506142859,PARQUE CENTENARIO,PATRICIAS ARGENTINAS AV. y ROENTGEN AV.,CABALLITO,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5515398593451,-58.4819399162085,PARQUE SAAVEDRA 1,"PEREZ, ROQUE y PAROISSIEN",SAAVEDRA,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5803265318524,-58.4631006903741,PLAZA 25 DE AGOSTO,CHARLONE y HEREDIA,VILLA OTUZAR,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.605547824347,-58.4936706207135,PLAZA ARISTOBULO DEL VALLE,CAMPANA y BAIGORRIA,VILLA DEL PARQUE,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6113883782966,-58.3978974923583,PLAZA 1RO DE MAYO,"YRIGOYEN, HIPOLITO y PASCO",BALVANERA,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6220542254795,-58.4126899761199,PLAZA BOEDO,ESTADOS UNIDOS y SANCHEZ DE LORIA,BOEDO,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.6878859302668,-58.4752020922909,PLAZA SUDAMÉRICA,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F. GRAL. AV.",VILLA RIACHUELO,Cooperativa de Trabajo Baires Cero,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5919093816859,-58.449262273857,PARQUE LOS ANDES,DORREGO AV. y GUZMAN,CHACARITA,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5893590937859,-58.4161035645719,PLAZA GUEMES,MEDRANO y CHARCAS,PALERMO,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5618041154275,-58.4546826447819,PLAZA MANUEL BELGRANO,CUBA y JURAMENTO AV.,BELGRANO,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.6003804201567,-58.5125938878895,PLAZA ARENALES,NUEVA YORK y MERCEDES,VILLA DEVOTO,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6263932944959,-58.5085445990707,PLAZA DON BOSCO,"LOPE DE VEGA AV. y GONZALEZ, ELPIDIO",MONTE CASTRO,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6430586487105,-58.4817507018098,PARQUE AVELLANEDA,DIRECTORIO AV. y FERNANDEZ,PARQUE AVELLANEDA,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6280612019433,-58.4642362318725,PLAZA PUEYRREDÓN,"YERBAL y ARTIGAS, JOSE GERVASIO GRAL.",FLORES,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6174901201364,-58.4341927502845,PARQUE RIVADAVIA,"RIVADAVIA AV. y BALCARCE, FLORENCIO",CABALLITO,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.6242434222341,-58.4046401403741,PLAZA VEA,SAN JUAN AV. y DEAN FUNES,SAN CRISTOBAL,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6137026244554,-58.4586040253146,PLAZA IRLANDA,"ALVAREZ, DONATO TTE. GRAL. y GAONA AV.",CABALLITO,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5600091415174,-58.4876433512469,PLAZA ALBERDI,"LARRALDE, CRISOLOGO AV. y ACHA, MARIANO GRAL.",SAAVEDRA,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6280588688275,-58.5205635840229,PLAZA CIUDAD DE BANFF,ARREGUI AV. y LISBOA,VERSALLES,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6102003550235,-58.4680785838005,PLAZA ROQUE SAENZ PEÑA,"ESCALADA DE SAN MARTIN, R. y BOYACA",VILLA GENERAL MITRE,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6212350762077,-58.4736949750693,PLAZA DE LOS PERIODISTAS,NAZCA  AV. y NEUQUEN,FLORES,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5876698993872,-58.4844776354102,PLAZA NOBEL,BUCAREST y HAMBURGO,PARQUE CHAS,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6048632280585,-58.4453107369556,PLAZA BENITO NAZAR,ANTEZANA y OLAYA,VILLA CRESPO,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5720354437169,-58.4893209319339,PLAZA ECHEVERRIA,"RIVERA, PEDRO I. DR. y BAUNESS",VILLA URQUIZA,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6573485595094,-58.5204283597567,PLAZA ROMULO ZABALA,ERCILLA 7502,MATADEROS,Cooperativa de Provisión de Servicios para Recolectores del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6474575933788,-58.4842919488629,PLAZA DOMINGO OLIVERA,OLIVERA AV. 824,PARQUE AVELLANEDA,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5392957558842,-58.4472357685429,FADU / CIUDAD UNIVERSITARIA,"GUIRALDES, INT. 2560",BELGRANO,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5885011310972,-58.397764371141,PLAZA EMILIO MITRE,LAS HERAS GENERAL AV. y CANTILO,RECOLETA,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5987081339839,-58.3913549848406,PLAZA PETRONILA RODRIGUEZ,RODRIGUEZ PEÑA y PARAGUAY,RECOLETA,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.6259656145078,-58.4071985529688,PLAZA MARTIN FIERRO,"URQUIZA, GRAL. y COCHABAMBA",SAN CRISTOBAL,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6508854106456,-58.3887439890382,PARQUE LEONARDO PEREYRA,"VELEZ SARSFIELD AV. y IRIARTE, GRAL. AV.",BARRACAS,Cooperativa de Trabajo Alelí,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6215058115323,-58.4561543108361,PLAZA ANGEL GRIS,AVELLANEDA AV. y CALCENA,FLORES,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5909186558872,-58.5009967461534,PLAZA MARTIN RODRIGUEZ,HABANA y ARGERICH,VILLA PUEYRREDON,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5732502136624,-58.4754548123401,PLAZA ZAPIOLA,JURAMENTO y DONADO,VILLA URQUIZA,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5809404325573,-58.4447765395503,PLAZA MAFALDA,"DUMONT, SANTOS y MARTINEZ, ENRIQUE GRAL.",COLEGIALES,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5768692458954,-58.4039729161498,PLAZA REPÚBLICA DE PERÚ,FIGUEROA ALCORTA PRES. AV. 3400,PALERMO,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6265847826438,-58.3819510762102,PLAZA CONSTITUCION,"LIMA y GARAY, JUAN DE AV.",CONSTITUCION,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6519843159488,-58.4160833225284,PLAZA NUEVA POMPEYA,SAENZ AV. y TRAFUL,POMPEYA,Cooperativa de Trabajo Reciclando Trabajo y Dignidad,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6398484380565,-58.3669041746019,PLAZA MATHEU,"ARAOZ DE LA MADRID, GREGORIO, GRAL. 1050",LA BOCA,Cooperativa de Trabajo Recuperador Urbano el Trebol,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6399001965808,-58.3994337259507,PLAZA GUILLERMO Y ALFREDO BARBIERI,LOS PATOS Y LUNA,PARQUE PATRICIOS,Cooperativa de Trabajo Reciclando Trabajo y Dignidad,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6327398182351,-58.4553335892151,PLAZA DE LA MISERICORDIA,"LAUTARO y BILBAO, FRANCISCO",FLORES,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.6346985322704,-58.4637731979512,PLAZA 11 DE NOVIEMBRE,DIRECTORIO AV. e ITALIA,FLORES,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6774380392307,-58.4767185236961,ESTACION LUGANO,"GALLO, DELFIN y LEGUIZAMON, MARTINIANO",LUGANO,Cooperativa de Trabajo Baires Cero,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.683532839483,-58.4657264405381,LUGANO 1 Y 2,"OLASCOAGA, MANUEL JOSE CNEL. y SOLDADO DE LA FRONTERA AV.",LUGANO,Cooperativa de Trabajo Baires Cero,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6508022298601,-58.5270033320232,PLAZA SARGENTO CABRAL,"SUAREZ, JOSE LEON y MARTINEZ DE HOZ",LINIERS,Cooperativa de Provisión de Servicios para Recolectores del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6641861743926,-58.514436674949,CARREFOUR MATADEROS,"PAZ, GRAL. AV. 12950",MATADEROS,Cooperativa de Provisión de Servicios para Recolectores del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6455144714921,-58.5232160762846,PLAZA SARMIENTO,COSQUIN y HUMAITA,LINIERS,Cooperativa de Provisión de Servicios para Recolectores del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6162734997507,-58.525955181126,PLAZA TOSCANERAS DE VILLA REAL,"LISTA, RAMON CNEL. y MOLIERE",VILLA REAL,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6332772855447,-58.5216041263903,CARREFOUR J B JUSTO,ALVAREZ JONTE AV. y PARÍS,VERSALLES,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6179397953308,-58.4979137333228,PLAZA MONTE CASTRO,GUALEGUAYCHU y MIRANDA,MONTE CASTRO,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6180598778281,-58.5072584903667,PLAZA MONSEÑOR FERMIN LAFITTE,ALLENDE y ARREGUI,MONTE CASTRO,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6127119499015,-58.5226967561923,PLAZA EL MAESTRO,"BEIRO, FRANCISCO AV. y CALDERON DE LA BARCA, PEDRO",VILLA DEVOTO,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5707764570502,-58.4814150166106,PLAZA MARCOS SASTRE,MONROE y MILLER,VILLA URQUIZA,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5773144558939,-58.4579019051663,PLAZA SAN MIGUEL DE CORICOITIS,"LORETO, VIRREY y DELGADO",COLEGIALES,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5494187916243,-58.4619667981871,ESTACIÓN NUÑEZ,GRECIA y PEDRAZA MANUELA,NUÑEZ,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,1,1,1
-34.5832877380253,-58.4102548701315,PARQUE LAS HERAS,"SALGUERO, JERONIMO 2450",PALERMO,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5978542157469,-58.3838956997579,PLAZA LIBERTAD,PARAGUAY y LIBERTAD,RETIRO,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5491046789891,-58.4420730414789,PASEO DE LAS AMERICAS,RAMSAY y BLANCO ENCALADA,BELGRANO,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.61268419597,-58.4435123190713,PLAZA AMADEO SABATTINI,"COLPAYO y VALLESE, FELIPE",CABALLITO,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6288848872043,-58.4935648658837,PLAZA DE LA BANDERA,"JUSTO, JUAN B. AV. y GAONA AV.",VELEZ SARSFIELD,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6202048393427,-58.4923580521678,PLAZA CIUDAD DE UDINE,CHIVILCOY y CAMARONES,FLORESTA,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6355949064026,-58.4825029422107,PLAZA CORONEL RAMON FALCON,"FALCON, RAMON L. CNEL. y BENEDETTI, OSVALDO E. DIP. NAC.",VELEZ SARSFIELD,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.553643227144,-58.4975064570569,PLAZOLETA BALBIN,"BALBIN, RICARDO DR. AV. y ARIAS",SAAVEDRA,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5443034591689,-58.4768685819074,PLAZA MAKENNA,CRAMER y RAMALLO,SAAVEDRA,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.5500695192027,-58.4770761350183,PARQUE SAAVEDRA 2,GARCIA DEL RIO AV. y PINTO,SAAVEDRA,Cooperativa de Trabajo Las Madreselvas,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.6136312184285,-58.4060195134656,PLAZA MANZANA 66,MORENO y JUJUY AV.,BALVANERA,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.629193592969,-58.3963536828733,POLO CIRCO,INCLAN y PICHINCHA AV.,PARQUE PATRICIOS,Cooperativa de Trabajo Amanecer de los Cartoneros,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
-34.651102449447,-58.4433288638415,VILLA 1.11.14,"MORENO, PERITO AV. y VARELA AV.",FLORES,Recuperadores de villa,Martes a Sábado de 11 a 17 hs.,1,1,1,1,1,1,1,1,0,1,1
